,Title,ConRate,DesRate,Author,Date,Content,BookCode
30,엔지닉 반도체 전공면접 책 리뷰,5,5,tkdgus1027,2020-09-04,"취업 준비하느라 신경쓸것도 많고 스트레스도 많이 받고 있었는데최근 이슈나 면접, 공정 전반에 대해서 써있는 책이라이 책 하나만 봐도 반도체 공정 직종에 지원할 수 있을거 같네요구성이 괜찮습니다.반도체에 관심 있으신 분들은 하나 사서 보셔도 괜찮고엔지닉에서 하는 스터디에서도 쓰이는 책이니까만약 이 걸 사시는데 스터디를 안하신다면 효율적인 공부를 위해 스터디까지 하시는걸 권장드립니다.",9791161980911
31,경쟁력 있는 최고의 반도체도서!,5,5,shim608,2020-09-04,여러 반도체 직무도서를 사서 공부해봤습니다. 하지만 현재 가장 자주 보고 있는 책은 단연 엔지닉 책입니다. 깔끔한 구성과 상세한 설명이 차별화된 점입니다. 반도체 공정공부가 막막했던 찰나 이렇게 좋은 책을 만들어 주셔서 감사할 따릅니다. 한편으로는 모두 이 책을 공부해서 입사경쟁이 심해질까 걱정입니다. 그 정도로 내용은 알차고 필요한 부분을 정확하게 설명하고 있습니다.,9791161980911
32,취업준비용 반도체 도서 중 최고!,5,5,jimilinia23,2020-09-04,스터디를 통해 책을 구매하게 됐는데 생각보다 내용이 깔끔하게 정리되어 있어서 놀랐습니다!이 책의 가장 좋은 점은 실제 면접 기출이 수록되어 있다는 점입니다면접기출을 보고 공부방향에 대해 감을 잡을 수 있고 비전공자가 보기에는 조금어려운 내용도 있지만 그만큼 디테일한 내용까지 수록되어 있습니다공부하다가 모르는 내용은 카페에 질문하는 것도 가능해서 전반적으로 매우 만족스러운 도서 구매였습니다,9791161980911
33,반도체 전공,5,5,-,2020-09-03,반도체에 대해 아무런 지식이 없었던 하반기 면접을 대비하여 공부하기 위해 책을 구매했습니다. 이 책을 구매하고 온라인 강의와 함께 공부한 뒤로 처음에는 이해하기 어렵고 힘든 부분이 있었지만 계속 꾸준히 2주간 공부하다보니 조금씩 반도체에 대해 이해하기 시작했습니다! 아직 한참 모자르지만 앞으로도 더 열심히 공부해서 완벽한 공정을 이해할 수 있도록 노력할 것입니다!,9791161980911
34,책 리뷰,5,5,kguuun,2020-09-03,"반도체 전공면접 합격의 모든 것 - 이론 완성편반도체 업계로 취업준비를 하기 위한 필독서 입니다. 개괄적인 내용부터 심화적인 내용까지 반도체 업계 입사준비를 위한 모든 것을 담았습니다. 전공자, 비전공자 누구나 맞춤형 학습이 가능하도록 단계별로 이론이 구성되어 있어서 이용자의 편의성에 초점을 맞춘 것으로 보입니다. 특히, 실제 전공면접 사례나 합격자 분석으로 지원자의 상황에 맞는 취업 가이드 라인을 제시한 부분이 인상깊습니다.",9791161980911
35,반도체 전공면접 합격 후기,5,5,fbsk75456,2020-08-31,"스터디 강의에 사용할 책을 찾다가 엔지닉 내용이 잘 구성되있고, 독학하기에 쉬울거 같아서 구입하였습니다. 내용별로 잘 되어있고 이해하기 쉽게 되어있는것 같습니다. 스터디와 병행하여 실력을 늘리기에 좋은 책인갓 같습니다. 그리고 글자가 작지 않아 읽기 쉽고, 공부하기 좋습니다! 면접 대비 책을 찾다가 다른 출판사와 고민하였지만, 엔지닉이 아무래도 내용이 더 잘 정리되어있고, 심화와 기본을 함께 다루어 더욱 유용한것 같습니다.!",9791161980911
36,반도체 도서 리뷰,5,5,꿀벌,2020-08-29,이번에 반도체 2주완성 스터디를 하게  되면서 이 책으로 강의를 들으면서 반도체에 대한 자세한 내용과 반도체에 다양한 공정들도 쉽게 설명이 되어 있고 글로만 설명을 해놓은게 아니라 그림으로 반도체 공정들에 대해 자세히 그려져 있고 책 한 권만 봐도 반도체에 대한 것들을 공부할 수 있었고 책 한 권으로 반도체에 대한 기본적인  지식을 알 수 있어서 좋았습니다. 책을 펼쳐보면 반도체 핵심 용어집이라는 작은 부록으로 된 책이 수록 되어 있는데 가지고 다니면서 봐도 될 정도의 크기로 유용하게 사용할 수 있습니다.,9791161980911
37,반도체는 엔지닉,5,5,cutemoon10,2020-08-29,"반도체2주스터디를 진행하면서 수업 교재로 구입하였다. 그 전에 PPT를 가지고 슬쩍슬쩍 건드려본 적은 있지만 이번에 이 책을 구입하면서 최근 기술 동향과 개념 맵을 통해 어떤 개념이 중요하고 문제점과 해결방안이 잘 보여서 좋았다. 강의도 물론 알찼지만 모든 내용을 다 강의에 담을 수 없기에 책으로 제공된 지식을 통해 더 많이 배웠다고 생각한다. 직무분석 및 공정, 면접예상 문제, 심화개념 등 추가제공된 강의와 지식은 2만원 대에 비해 너무 풍족하다. 학교에서 수강하지 못한 아쉬움을 크게 달랠 수 있었다.",9791161980911
38,반도체 관련 공부는 이 책과 함께!,5,5,tmdgjs2793,2020-08-28,"반도체라는 것을 공부할 때 필독 도서가 되어야하는 책이라 생각합니다. 산업 분석과 기업 소개, 반도체 소자부터 8대 공정과 최신 기술까지 한 권에 정리되어 있어 보기에도 편리합니다. 이 책과 함께 반도체 개념을 다시 잡아서 꼭 하반기 반도체 회사에 취업하고 싶습니다!반도체를 새롭게 접하신 분들, 기존의 반도체 개념을 잊어버리셨던 분들이라면 이 책이 꼭 도움이 될 거라 생각합니다! 같이 취뽀 해보아요!",9791161980911
39,엔지닉 반도체 전공면접 책,5,5,jpark8440,2020-08-28,"이번 반도체 취업기초 2주완성 스터디에 참여하게 되면서 좀 더 높은 효율을 위해 ""반도체 전공면접 합격의 모든 것"" 책을 구입했습니다.반도체 산업과 동향, 기업 채용 가이드와 반도체 소자에 대한 설명, 8대 공정 등 반도체에 대해 전반적으로 다룹니다. 반도체에 대한 전체적인 이해가 필요할 때 한 번씩 읽어보면 좋을 것 같고, 면접 대비랑 제 역량에 맞는 직무를 선택하는 데 있어서 굉장히 도움이 많이 될 것 같습니다. 그리고 삼성전자나 SK하이닉스같은 반도체 기업의 기출 문제도 같이 알려주면서 공정에 대해 설명하는데, 이런 점 덕분에 상세한 이해가 가능한 것 같습니다.반도체 소자 및 공정에 대해서 잘 모르시는 분들은 책 사서 한번 쭉 읽고 공부하시면 도움 많이 될 거 같습니다내용이 쉽고 알차게 잘 설명 되어있고, 현재 반도체 회사 직무 면접에 대해서 알고 싶으시면 구매 추천드립니다!",9791161980911
